rssi,signal,mac,location
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
36,-60,fc:ec:da:37:79:6a,Bedroom
37,-59,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
39,-57,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
41,-55,78:8a:20:80:45:b6,Kitchen
41,-55,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
29,-67,78:8a:20:80:45:b6,Kitchen
28,-68,78:8a:20:80:45:b6,Kitchen
29,-67,78:8a:20:80:45:b6,Kitchen
29,-67,78:8a:20:80:45:b6,Kitchen
30,-66,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
30,-66,78:8a:20:80:45:b6,Kitchen
44,-52,78:8a:20:80:45:b6,Kitchen
43,-53,78:8a:20:80:45:b6,Kitchen
44,-52,78:8a:20:80:45:b6,Kitchen
44,-52,78:8a:20:80:45:b6,Kitchen
43,-53,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
38,-58,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
20,-76,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
31,-65,78:8a:20:80:45:b6,Kitchen
